,loss,accuracy,val_loss,val_accuracy
0,2.0238945484161377,0.4022817313671112,1.5830762386322021,0.5002976059913635
1,0.949336051940918,0.6903769969940186,0.7856879234313965,0.7437499761581421
2,0.6120706796646118,0.7992063760757446,0.7548503875732422,0.7717261910438538
3,0.4395167827606201,0.8540674448013306,0.570084810256958,0.8226190209388733
4,0.3398287296295166,0.8848214149475098,0.5946639180183411,0.819345235824585
5,0.25383326411247253,0.9158729910850525,0.4585549533367157,0.8636904954910278
6,0.22238631546497345,0.927480161190033,0.5371026992797852,0.851190447807312
7,0.16060513257980347,0.9447420835494995,0.5233922600746155,0.867559552192688
8,0.147147074341774,0.9532738327980042,0.5754908919334412,0.862500011920929
9,0.1360691785812378,0.9559524059295654,0.5750871896743774,0.851190447807312
